strain	designation	accession	clade	passage_long	passage	center_long	center	date	month_abbr	type	reference	h_serology	f_serology
othA/South_Africa/R04930/2022o_apr	A/South Africa/R04930/2022	EPI_ISL_13399727		Original	o	National Institute for Communicable Diseases	oth	2022-04-25					
othA/South_Africa/R03454/2022o_mar	A/South Africa/R03454/2022	EPI_ISL_13399715		Original	o	National Institute for Communicable Diseases	oth	2022-03-11					
othA/South_Africa/R04202/2022o_apr	A/South Africa/R04202/2022	EPI_ISL_13399719		Original	o	National Institute for Communicable Diseases	oth	2022-04-01					
othA/South_Africa/R04933/2022o_apr	A/South Africa/R04933/2022	EPI_ISL_13399728		Original	o	National Institute for Communicable Diseases	oth	2022-04-22					
													
A/Darwin/132/2022_may	A/Darwin/132/2022	N10058456.4		MDCK1				11/05/22	may				
A/Darwin/300/2022_may	A/Darwin/300/2022	N10058464.4		MDCK1				11/05/22	may				
A/Darwin/156/2022_may	A/Darwin/156/2022	N10058458.4		MDCK1				07/05/22	may				
A/Darwin/2402/2022_jun	A/Darwin/2402/2022	N10058462.4		SIAT1				26/06/22	jun				
A/Darwin/350/2022_may	A/Darwin/350/2022	N10058466.4		MDCK1				13/05/22	may				
A/Darwin/353/2022_may	A/Darwin/353/2022	N10058467.4		MDCK1				13/05/22	may				
A/Darwin/383/2022_may	A/Darwin/383/2022	N10058469.4		MDCK1				13/05/22	may				
A/Darwin/486/2022_may	A/Darwin/486/2022	N10058471.4		SIAT1				16/05/22	may				
A/Darwin/405/2022_may	A/Darwin/405/2022	N10058470.4		MDCK1				12/05/22	may				
A/Sydney/406/2022_may	A/Sydney/406/2022	N10058475.4		SIAT1				13/05/22	may				
A/Darwin/368/2022_may	A/Darwin/368/2022	N10058468.4		MDCK1				14/05/22	may				
A/Sydney/362/2022_may	A/Sydney/362/2022	N10058474.4		MDCK2				05/05/22	may				
A/Darwin/491/2022_may	A/Darwin/491/2022	N10058472.4		SIAT1				17/05/22	may				
A/Sydney/253/2022_apr	A/Sydney/253/2022	N10058473.4		MDCK1				30/04/22	apr				
A/Sydney/458/2022_may	A/Sydney/458/2022	N10058476.4		MDCK1				18/05/22	may				
A/Sydney/492/2022_apr	A/Sydney/492/2022	N10058477.4		MDCK1				12/04/22	apr				
A/Sydney/644/2022_may	A/Sydney/644/2022	N10058480.4		MDCK1				19/05/22	may				
A/Sydney/575/2022_may	A/Sydney/575/2022	N10058478.4		MDCK2				02/05/22	may				
A/Victoria/4160/2022_jun	A/Victoria/4160/2022	N10058484.4		SIAT1				21/06/22	jun				
A/Victoria/3602/2022_may	A/Victoria/3602/2022	N10058483.4		MDCK1				31/05/22	may				
A/Sydney/798/2022_jun	A/Sydney/798/2022	N10058482.4		SIAT1				28/06/22	jun				
A/Sydney/603/2022_may	A/Sydney/603/2022	N10058479.4		MDCK1				18/05/22	may				
A/Sydney/656/2022_may	A/Sydney/656/2022	N10058481.4		MDCK1				20/05/22	may				
A/Darwin/129/2022_may	A/Darwin/129/2022	N10058455.4		MDCK1				03/05/22	may				
A/Darwin/136/2022_apr	A/Darwin/136/2022	N10058457.4		MDCK1				30/04/22	apr				
A/Darwin/161/2022_may	A/Darwin/161/2022	N10058459.4		MDCK1				02/05/22	may				
